# Last updated: 2025-06-03 19:16 UTC
channel_id,name
asportshd,"A Sports HD"
bbtsp2,"TNT Sports 2"
bbtsp3,"TNT Sports 3"
fox501,"Fox Cricket 501 HD"
hubpremier1,"Hub Premier 1"
hubpremier2,"Hub Premier 2"
hubpremier3,"Hub Premier 3"
hubpremier4,"Hub Premier 4"
mls786,"HIGH HD 3"
ptvpk,"PTV Sports"
skysare,"Sky Sports Arena"
skysfor1,"Sky Sports F1"
skysfor1,"Sky Sports F1 BackUp"
skysgol,"Sky Sports  Golf"
skyspnews,"Sky Sports News"
star1in,"Star Sports"
starhindi,"Star Sports 1 Hindi"
ten1hd,"TEN 1"
tenspk,"TEN Sports pk"
usafox1,"FOX Sports 1 USA"
usafox2,"FOX Sports 2 USA"
willowextra,"Willow Cricket Extra"
willowusa,"Willow Cricket HD"
